certificate_id,statistical_risk
CERT000384,0.0165
CERT000385,0.3271
CERT000386,0.038
CERT000387,0.0252
CERT000388,0.0104
CERT000389,0.138
CERT000390,0.1405
CERT000391,0.0882
CERT000392,0.0801
CERT000393,0.379
CERT000394,0.089
CERT000395,0.1393
CERT000396,0.0395
CERT000397,0.6201
CERT000398,0.0668
CERT000399,0.1236
CERT000400,0.0183
CERT000401,0.0371
CERT000402,0.0729
CERT000403,0.0791
CERT000404,0.3591
CERT000405,0.0381
CERT000406,0.0234
CERT000407,0.1285
CERT000408,0.2323
CERT000409,0.6823
CERT000410,0.118
CERT000411,0.0566
CERT000412,0.2084
CERT000413,0.1022
CERT000414,0.1664
CERT000415,0.0087
CERT000416,0.3213
CERT000417,0.0799
CERT000418,0.1974
CERT000419,0.7712
CERT000420,0.777
CERT000421,0.0885
CERT000422,0.0467
CERT000423,0.0631
CERT000424,0.0647
CERT000425,0.3524
CERT000426,0.1676
CERT000427,0.1285
CERT000428,0.0375
CERT000429,0.1621
CERT000430,0.0098
CERT000431,0.1068
CERT000432,0.1042
CERT000433,0.0153
CERT000434,0.0226
CERT000435,0.1557
CERT000436,0.0611
CERT000437,0.1511
CERT000438,0.0278
CERT000439,0.3066
CERT000440,0.0093
CERT000441,0.0095
CERT000442,0.1545
CERT000443,0.3526
CERT000444,0.0441
CERT000445,0.2812
CERT000446,0.3383
CERT000447,0.0467
CERT000448,0.2209
CERT000449,0.3702
CERT000450,0.2252
CERT000451,0.0834
CERT000452,0.0339
CERT000453,0.1717
CERT000454,0.0207
CERT000455,0.3253
CERT000456,0.0511
CERT000457,0.1794
CERT000458,0.1033
CERT000459,0.2216
CERT000460,0.3344
CERT000461,0.2483
CERT000462,0.1028
CERT000463,0.0509
CERT000464,0.0721
CERT000465,0.2633
CERT000466,0.0806
CERT000467,0.1611
CERT000468,0.4958
CERT000469,0.1894
CERT000470,0.4054
CERT000471,0.0635
CERT000472,0.0845
CERT000473,0.0512
CERT000474,0.0967
CERT000475,0.0304
CERT000476,0.7677
CERT000477,0.1925
CERT000478,0.0475
CERT000479,0.2962
CERT000480,0.0385
CERT000481,0.1111
CERT000482,0.1645
CERT000483,0.1068
CERT000484,0.0598
CERT000485,0.2758
CERT000486,0.0424
CERT000487,0.1539
CERT000488,0.309
CERT000489,0.0608
CERT000490,0.1428
CERT000491,0.1827
CERT000492,0.0636
CERT000493,0.204
CERT000494,0.0454
CERT000495,0.1467
CERT000496,0.1221
CERT000497,0.1363
CERT000498,0.0299
CERT000499,0.0199
CERT000500,0.0756
CERT000501,0.0203
CERT000502,0.1484
CERT000503,0.6412
CERT000504,0.3591
CERT000505,0.2778
CERT000506,0.0202
CERT000507,0.0302
CERT000508,0.9025
CERT000509,0.0273
CERT000510,0.5886
CERT000511,0.0687
CERT000512,0.2012
CERT000513,0.1562
CERT000514,0.1734
CERT000515,0.1073
CERT000516,0.2423
CERT000517,0.2552
CERT000518,0.0885
CERT000519,0.1104
CERT000520,0.152
CERT000521,0.2859
CERT000522,0.1657
CERT000523,0.1125
CERT000524,0.06
CERT000525,0.0516
CERT000526,0.0719
CERT000527,0.0803
CERT000528,0.196
CERT000529,0.2882
CERT000530,0.2438
CERT000531,0.3399
CERT000532,0.4495
CERT000533,0.1495
CERT000534,0.2228
CERT000535,0.3447
CERT000536,0.1079
CERT000537,0.5021
CERT000538,0.2252
CERT000539,0.0552
CERT000540,0.5273
CERT000541,0.193
CERT000542,0.1672
CERT000543,0.1455
CERT000544,0.2373
CERT000545,0.2394
CERT000546,0.0647
CERT000547,0.0113
CERT000548,0.4548
CERT000549,0.6908
CERT000550,0.1151
CERT000551,0.1658
CERT000552,0.3248
CERT000553,0.0524
CERT000554,0.604
CERT000555,0.1179
CERT000556,0.1497
CERT000557,0.1614
CERT000558,0.2508
CERT000559,0.0996
CERT000560,0.8376
CERT000561,0.1254
CERT000562,0.0825
CERT000563,0.0494
CERT000564,0.1197
CERT000565,0.0235
CERT000566,0.0776
CERT000567,0.2075
CERT000568,0.1093
CERT000569,0.2857
CERT000570,0.0733
CERT000571,0.0769
CERT000572,0.0645
CERT000573,0.0898
CERT000574,0.7674
CERT000575,0.0947
CERT000576,0.0529
CERT000577,0.0449
CERT000578,0.1921
CERT000579,0.3197
CERT000580,0.0497
CERT000581,0.0816
CERT000582,0.0674
CERT000583,0.6581
CERT000584,0.8115
CERT000585,0.0482
CERT000586,0.0633
CERT000587,0.015
CERT000588,0.0279
CERT000589,0.743
CERT000590,0.1306
CERT000591,0.1881
CERT000592,0.0431
CERT000593,0.1188
CERT000594,0.146
CERT000595,0.0373
CERT000596,0.073
CERT000597,0.4564
CERT000598,0.0347
CERT000599,0.0542
CERT000600,0.0724
CERT000601,0.0842
CERT000602,0.5305
CERT000603,0.1417
CERT000604,0.1515
CERT000605,0.0391
CERT000606,0.3299
CERT000607,0.0577
CERT000608,0.1319
CERT000609,0.4514
CERT000610,0.1988
CERT000611,0.0987
CERT000612,0.0448
CERT000613,0.3302
CERT000614,0.1217
CERT000615,0.6303
CERT000616,0.0073
CERT000617,0.7757
CERT000618,0.09
CERT000619,0.8328
CERT000620,0.0979
CERT000621,0.2683
CERT000622,0.005
CERT000623,0.0499
CERT000624,0.1371
CERT000625,0.0257
CERT000626,0.0613
CERT000627,0.8076
CERT000628,0.6305
CERT000629,0.1709
CERT000630,0.1483
CERT000631,0.1721
CERT000632,0.6216
CERT000633,0.3077
CERT000634,0.0298
CERT000635,0.0509
CERT000636,0.2278
CERT000637,0.1027
CERT000638,0.2595
CERT000639,0.1361
CERT000640,0.1182
CERT000641,0.1989
CERT000642,0.2261
CERT000643,0.2847
CERT000644,0.1359
CERT000645,0.1444
CERT000646,0.0084
CERT000647,0.1342
CERT000648,0.1026
CERT000649,0.0492
CERT000650,0.0963
CERT000651,0.2626
CERT000652,0.6867
CERT000653,0.022
CERT000654,0.0907
CERT000655,0.519
CERT000656,0.0597
CERT000657,0.154
CERT000658,0.3629
CERT000659,0.1148
CERT000660,0.1148
CERT000661,0.1619
CERT000662,0.047
CERT000663,0.04
CERT000664,0.1656
CERT000665,0.1474
CERT000666,0.1315
CERT000667,0.4154
CERT000668,0.0372
CERT000669,0.6109
CERT000670,0.3013
CERT000671,0.3318
CERT000672,0.4881
CERT000673,0.1969
CERT000674,0.056
CERT000675,0.029
CERT000676,0.1695
CERT000677,0.348
CERT000678,0.6728
CERT000679,0.071
CERT000680,0.3658
CERT000681,0.5488
CERT000682,0.0293
CERT000683,0.0969
CERT000684,0.0881
CERT000685,0.1871
CERT000686,0.2169
CERT000687,0.1961
CERT000688,0.0212
CERT000689,0.1616
CERT000690,0.1979
CERT000691,0.1268
CERT000692,0.2921
CERT000693,0.2447
CERT000694,0.2709
CERT000695,0.3739
CERT000696,0.1621
CERT000697,0.6366
CERT000698,0.1104
CERT000699,0.1933
CERT000700,0.0195
CERT000701,0.0516
CERT000702,0.0515
CERT000703,0.6604
CERT000704,0.1149
CERT000705,0.0323
CERT000706,0.1266
CERT000707,0.198
CERT000708,0.6364
CERT000709,0.0481
CERT000710,0.3617
CERT000711,0.1115
CERT000712,0.0657
CERT000713,0.2601
CERT000714,0.247
CERT000715,0.051
CERT000716,0.094
CERT000717,0.4633
CERT000718,0.3963
CERT000719,0.1478
CERT000720,0.0273
CERT000721,0.4982
CERT000722,0.3803
CERT000723,0.053
CERT000724,0.1249
CERT000725,0.0432
CERT000726,0.0531
CERT000727,0.1028
CERT000728,0.2315
CERT000729,0.6334
CERT000730,0.1498
CERT000731,0.0049
CERT000732,0.0178
CERT000733,0.0617
CERT000734,0.0
CERT000735,0.3121
CERT000736,0.2922
CERT000737,0.5256
CERT000738,0.0171
CERT000739,0.0255
CERT000740,0.2138
CERT000741,0.0262
CERT000742,0.1781
CERT000743,0.0752
CERT000744,0.0172
CERT000745,0.7959
CERT000746,0.0255
CERT000747,0.0696
CERT000748,0.2614
CERT000749,0.3901
CERT000750,0.2144
CERT000751,0.1808
CERT000752,0.234
CERT000753,0.3405
CERT000754,0.4463
CERT000755,0.1621
CERT000756,0.0336
CERT000757,0.7392
CERT000758,0.233
CERT000759,0.0606
CERT000760,0.1658
CERT000761,0.0392
CERT000762,0.0508
CERT000763,0.2262
CERT000764,0.0848
CERT000765,0.0548
CERT000766,0.0463
CERT000767,0.016
CERT000768,0.2637
CERT000769,0.6563
CERT000770,0.2176
CERT000771,0.0043
CERT000772,0.0188
CERT000773,0.0205
CERT000774,0.0685
CERT000775,0.1006
CERT000776,0.1193
CERT000777,0.2931
CERT000778,0.1441
CERT000779,0.0745
CERT000780,0.0554
CERT000781,0.7918
CERT000782,0.0403
CERT000783,0.0852
CERT000784,0.0042
CERT000785,0.166
CERT000786,0.143
CERT000787,0.1216
CERT000788,0.2323
CERT000789,0.0617
CERT000790,0.0317
CERT000791,0.0082
CERT000792,0.3989
CERT000793,0.0597
CERT000794,0.1765
CERT000795,0.1562
CERT000796,0.44
CERT000797,0.6251
CERT000798,0.0972
CERT000799,0.0341
CERT000800,0.0554
CERT000801,0.0145
CERT000802,0.0574
CERT000803,0.6583
CERT000804,0.1394
CERT000805,0.0508
CERT000806,0.0357
CERT000807,0.0666
CERT000808,0.3388
CERT000809,0.4015
CERT000810,0.1916
CERT000811,0.0372
CERT000812,0.043
CERT000813,0.0297
CERT000814,0.1672
CERT000815,0.0686
CERT000816,0.0665
CERT000817,0.2038
CERT000818,0.1014
CERT000819,0.1703
CERT000820,0.8833
CERT000821,0.157
CERT000822,0.06
CERT000823,0.2142
CERT000824,0.0021
CERT000825,0.7232
CERT000826,0.2126
CERT000827,0.2442
CERT000828,0.2509
CERT000829,0.1569
CERT000830,0.0428
CERT000831,0.0557
CERT000832,0.6761
CERT000833,0.0268
CERT000834,0.0165
CERT000835,0.1115
CERT000836,0.1249
CERT000837,0.0236
CERT000838,0.0816
CERT000839,0.1223
CERT000840,0.0519
CERT000841,0.0149
CERT000842,0.4249
CERT000843,0.1939
CERT000844,0.5274
CERT000845,0.4094
CERT000846,0.0168
CERT000847,0.1578
CERT000848,0.4144
CERT000849,0.0437
CERT000850,0.819
CERT000851,0.0378
CERT000852,0.1628
CERT000853,0.2911
CERT000854,0.2441
CERT000855,0.2646
CERT000856,0.1938
CERT000857,0.0653
CERT000858,0.1882
CERT000859,0.0626
CERT000860,0.063
CERT000861,0.1239
CERT000862,0.0735
CERT000863,0.0552
CERT000864,0.0162
CERT000865,0.0816
CERT000866,0.0535
CERT000867,0.1314
CERT000868,0.2587
CERT000869,0.0578
CERT000870,0.3243
CERT000871,0.0239
CERT000872,0.0673
CERT000873,0.1554
CERT000874,0.164
CERT000875,0.205
CERT000876,0.1597
CERT000877,0.0827
CERT000878,0.2204
CERT000879,0.0393
CERT000880,0.1656
CERT000881,0.3731
CERT000882,0.3401
CERT000883,0.78
CERT000884,0.0621
CERT000885,0.1335
CERT000886,0.14
CERT000887,0.1404
CERT000888,0.0535
CERT000889,0.0309
CERT000890,0.0143
CERT000891,0.1519
CERT000892,0.6696
CERT000893,0.2837
CERT000894,0.0083
CERT000895,0.468
CERT000896,0.4099
CERT000897,0.0495
CERT000898,0.3757
CERT000899,0.1861
CERT000900,0.5037
CERT000901,0.021
CERT000902,0.4742
CERT000903,0.1961
CERT000904,0.2586
CERT000905,0.6293
CERT000906,0.0397
CERT000907,1.0
CERT000908,0.7834
CERT000909,0.1353
CERT000910,0.029
CERT000911,0.2222
CERT000912,0.4658
CERT000913,0.3911
CERT000914,0.1102
CERT000915,0.1519
CERT000916,0.0412
CERT000917,0.175
CERT000918,0.1674
CERT000919,0.0364
CERT000920,0.3778
CERT000921,0.2654
CERT000922,0.1136
CERT000923,0.0871
CERT000924,0.255
CERT000925,0.0437
CERT000926,0.1659
CERT000927,0.4454
CERT000928,0.2
CERT000929,0.401
CERT000930,0.1665
CERT000931,0.021
CERT000932,0.0404
CERT000933,0.921
CERT000934,0.6608
CERT000935,0.1291
CERT000936,0.2279
CERT000937,0.2314
CERT000938,0.1561
CERT000939,0.0928
CERT000940,0.8943
CERT000941,0.0743
CERT000942,0.044
CERT000943,0.1898
CERT000944,0.1528
CERT000945,0.0613
CERT000946,0.1406
CERT000947,0.0775
CERT000948,0.5247
CERT000949,0.1019
CERT000950,0.1062
CERT000951,0.1779
CERT000952,0.2554
CERT000953,0.0913
CERT000954,0.1938
CERT000955,0.2586
CERT000956,0.8664
CERT000957,0.6491
CERT000958,0.0478
CERT000959,0.1294
CERT000960,0.8723
CERT000961,0.134
CERT000962,0.1413
CERT000963,0.0048
CERT000964,0.2771
CERT000965,0.2343
CERT000966,0.072
CERT000967,0.107
CERT000968,0.0562
CERT000969,0.3595
CERT000970,0.049
CERT000971,0.1723
CERT000972,0.875
CERT000973,0.0673
CERT000974,0.0463
CERT000975,0.5
CERT000976,0.1133
CERT000977,0.4454
CERT000978,0.304
CERT000979,0.052
CERT000980,0.2243
CERT000981,0.2317
CERT000982,0.8826
CERT000983,0.0303
CERT000984,0.0629
CERT000985,0.1216
CERT000986,0.1024
CERT000987,0.3425
CERT000988,0.1415
CERT000989,0.1839
CERT000990,0.1601
CERT000991,0.606
CERT000992,0.0494
CERT000993,0.6224
CERT000994,0.2293
CERT000995,0.198
CERT000996,0.0494
CERT000997,0.8248
CERT000998,0.0352
CERT000999,0.1829
CERT001000,0.0897
CERT001001,0.3472
CERT001002,0.0187
CERT001003,0.1947
CERT001004,0.2004
CERT001005,0.6329
CERT001006,0.045
CERT001007,0.4567
CERT001008,0.2139
CERT001009,0.3372
CERT001010,0.4403
CERT001011,0.1745
CERT001012,0.2595
CERT001013,0.1851
CERT001014,0.1145
CERT001015,0.0527
CERT001016,0.0494
CERT001017,0.4034
CERT001018,0.0173
CERT001019,0.0432
CERT001020,0.4151
CERT001021,0.1386
CERT001022,0.2703
CERT001023,0.1562
CERT001024,0.2171
CERT001025,0.1262
CERT001026,0.082
CERT001027,0.0645
CERT001028,0.0281
CERT001029,0.0557
CERT001030,0.0112
CERT001031,0.0442
CERT001032,0.0617
CERT001033,0.2095
CERT001034,0.0184
CERT001035,0.7837
CERT001036,0.2009
CERT001037,0.2523
CERT001038,0.0346
CERT001039,0.1813
CERT001040,0.095
CERT001041,0.0045
CERT001042,0.0638
CERT001043,0.1079
CERT001044,0.2088
CERT001045,0.0215
CERT001046,0.089
CERT001047,0.0107
CERT001048,0.0393
CERT001049,0.0213
CERT001050,0.6385
CERT001051,0.0987
CERT001052,0.0439
CERT001053,0.0601
CERT001054,0.3453
CERT001055,0.0355
CERT001056,0.3287
CERT001057,0.2539
CERT001058,0.0488
CERT001059,0.2235
CERT001060,0.4758
CERT001061,0.0792
CERT001062,0.0342
CERT001063,0.7665
CERT001064,0.1615
CERT001065,0.7624
CERT001066,0.3156
CERT001067,0.0059
CERT001068,0.0794
CERT001069,0.1278
CERT001070,0.0477
CERT001071,0.2129
CERT001072,0.3652
CERT001073,0.2781
CERT001074,0.0921
CERT001075,0.2194
CERT001076,0.113
CERT001077,0.2246
CERT001078,0.0953
CERT001079,0.0224
CERT001080,0.2346
CERT001081,0.5104
CERT001082,0.0625
CERT001083,0.0377
CERT001084,0.1465
CERT001085,0.0664
CERT001086,0.2459
CERT001087,0.0147
CERT001088,0.0909
CERT001089,0.0891
CERT001090,0.0233
CERT001091,0.1306
CERT001092,0.9146
CERT001093,0.6388
CERT001094,0.279
CERT001095,0.1377
CERT001096,0.9626
CERT001097,0.1372
CERT001098,0.0128
CERT001099,0.064
CERT001100,0.1118
CERT001101,0.2172
CERT001102,0.2845
CERT001103,0.1198
CERT001104,0.0991
CERT001105,0.1386
CERT001106,0.2494
CERT001107,0.1198
CERT001108,0.0861
CERT001109,0.2106
CERT001110,0.1173
CERT001111,0.1875
CERT001112,0.2783
CERT001113,0.083
CERT001114,0.1452
CERT001115,0.0437
CERT001116,0.2576
CERT001117,0.216
CERT001118,0.4885
CERT001119,0.1031
CERT001120,0.0476
CERT001121,0.0101
CERT001122,0.1785
CERT001123,0.5289
CERT001124,0.0301
CERT001125,0.2433
CERT001126,0.0588
CERT001127,0.2214
CERT001128,0.316
CERT001129,0.0675
CERT001130,0.4461
CERT001131,0.3946
CERT001132,0.0105
CERT001133,0.0109
CERT001134,0.1135
CERT001135,0.14
CERT001136,0.1418
CERT001137,0.0354
CERT001138,0.0811
CERT001139,0.0656
CERT001140,0.2324
CERT001141,0.0129
CERT001142,0.399
CERT001143,0.2879
CERT001144,0.046
CERT001145,0.1175
CERT001146,0.1403
CERT001147,0.0472
CERT001148,0.2958
CERT001149,0.1678
CERT001150,0.4429
CERT001151,0.0412
CERT001152,0.1035
CERT001153,0.1056
CERT001154,0.5588
CERT001155,0.4779
CERT001156,0.0173
CERT001157,0.5932
CERT001158,0.0092
CERT001159,0.4741
CERT001160,0.129
CERT001161,0.1086
CERT001162,0.162
CERT001163,0.0419
CERT001164,0.1121
CERT001165,0.0393
CERT001166,0.6385
CERT001167,0.0993
CERT001168,0.0889
CERT001169,0.213
CERT001170,0.1923
CERT001171,0.0636
CERT001172,0.3936
CERT001173,0.0127
CERT001174,0.0525
CERT001175,0.2741
CERT001176,0.1121
CERT001177,0.0734
CERT001178,0.1203
CERT001179,0.2809
CERT001180,0.126
CERT001181,0.4691
CERT001182,0.1401
CERT001183,0.0531
CERT001184,0.1199
CERT001185,0.441
CERT001186,0.926
CERT001187,0.0892
CERT001188,0.0573
CERT001189,0.2151
CERT001190,0.1584
CERT001191,0.1914
CERT001192,0.0881
CERT001193,0.0215
CERT001194,0.8912
CERT001195,0.0558
CERT001196,0.0072
CERT001197,0.3153
CERT001198,0.6343
CERT001199,0.4407
CERT001200,0.3273
CERT000070,0.5885
CERT000975,0.5
CERT000721,0.4982
CERT000609,0.4514
CERT000703,0.6604
CERT000672,0.4881
CERT000737,0.5256
CERT000602,0.5305
CERT000199,0.5844
CERT000510,0.5886
CERT000081,0.4376
CERT000031,0.4289
CERT000101,0.5859
CERT000991,0.606
CERT000308,0.4376
CERT000532,0.4495
CERT001154,0.5588
CERT000717,0.4633
CERT001185,0.441
CERT000977,0.4454
CERT000842,0.4249
CERT000769,0.6563
CERT000844,0.5274
CERT000186,0.6538
CERT001005,0.6329
CERT000131,0.6566
CERT000061,0.4762
CERT000754,0.4463
CERT000144,0.5957
CERT000796,0.44
CERT000136,0.5204
CERT000554,0.604
CERT000934,0.6608
CERT000900,0.5037
CERT000153,0.629
CERT000337,0.491
CERT000757,0.7392
CERT000628,0.6305
CERT000905,0.6293
CERT000548,0.4548
CERT000540,0.5273
CERT001081,0.5104
